trip_id,pickup_datetime,dropoff_datetime,pickup_location_id,dropoff_location_id,passenger_count,trip_distance,fare_amount,tip_amount,total_amount,payment_type,vendor_id,trip_duration,pickup_hour,pickup_day,pickup_month,pickup_date,is_weekend,fare_per_km,tip_per
1,2024-01-11 23:15:00,2024-01-11 23:59:00,53,175,3,9.07,209.62,13.71,223.33,Card,2,44.0,23,Thursday,January,2024-01-11,False,23.11,6.54
2,2024-01-01 14:20:00,2024-01-01 14:34:00,148,109,1,8.4,197.26,19.11,216.37,Cash,2,14.0,14,Monday,January,2024-01-01,False,23.48,9.69
3,2024-01-27 11:58:00,2024-01-27 12:54:00,187,14,1,1.48,92.42,16.9,109.32,Card,1,56.0,11,Saturday,January,2024-01-27,False,62.45,18.29
4,2024-01-08 20:04:00,2024-01-08 21:20:00,21,181,1,14.98,329.97,42.33,372.3,Card,1,76.0,20,Monday,January,2024-01-08,False,22.03,12.83
5,2024-01-05 08:25:00,2024-01-05 09:44:00,90,43,1,17.77,376.24,26.47,402.71,Card,1,79.0,8,Friday,January,2024-01-05,False,21.17,7.04
6,2024-01-12 16:50:00,2024-01-12 17:55:00,233,102,3,21.49,438.85,35.27,474.12,Card,2,65.0,16,Friday,January,2024-01-12,False,20.42,8.04
7,2024-01-26 19:54:00,2024-01-26 21:02:00,215,113,1,4.36,131.4,12.7,144.1,Card,2,68.0,19,Friday,January,2024-01-26,False,30.14,9.67
8,2024-01-16 06:02:00,2024-01-16 06:11:00,51,193,1,14.06,294.8,40.84,335.64,Cash,1,9.0,6,Tuesday,January,2024-01-16,False,20.97,13.85
9,2024-01-12 03:03:00,2024-01-12 04:00:00,153,9,1,1.19,75.07,7.5,82.57,Card,1,57.0,3,Friday,January,2024-01-12,False,63.08,9.99
10,2024-01-29 12:50:00,2024-01-29 13:49:00,116,149,1,3.28,122.9,19.92,142.82,Card,2,59.0,12,Monday,January,2024-01-29,False,37.47,16.21
11,2024-01-02 04:05:00,2024-01-02 04:46:00,214,224,3,2.3,93.04,13.25,106.29,Card,1,41.0,4,Tuesday,January,2024-01-02,False,40.45,14.24
12,2024-01-01 12:49:00,2024-01-01 13:49:00,137,110,1,18.41,382.89,69.33,452.22,Cash,1,60.0,12,Monday,January,2024-01-01,False,20.8,18.11
13,2024-01-02 16:33:00,2024-01-02 17:36:00,71,84,1,2.95,93.57,11.71,105.28,Card,1,63.0,16,Tuesday,January,2024-01-02,False,31.72,12.51
14,2024-01-04 16:31:00,2024-01-04 17:44:00,245,43,2,18.19,381.16,37.99,419.15,Cash,2,73.0,16,Thursday,January,2024-01-04,False,20.95,9.97
15,2024-01-27 06:19:00,2024-01-27 07:36:00,38,66,1,6.99,166.58,33.22,199.8,Cash,1,77.0,6,Saturday,January,2024-01-27,False,23.83,19.94
16,2024-01-28 05:08:00,2024-01-28 06:11:00,216,109,1,22.07,454.37,46.96,501.33,Card,1,63.0,5,Sunday,January,2024-01-28,False,20.59,10.34
17,2024-01-13 04:48:00,2024-01-13 04:54:00,127,102,1,20.52,424.56,48.52,473.08,Card,1,6.0,4,Saturday,January,2024-01-13,False,20.69,11.43
18,2024-01-14 17:29:00,2024-01-14 18:38:00,72,135,1,23.99,497.02,85.17,582.19,Card,2,69.0,17,Sunday,January,2024-01-14,False,20.72,17.14
19,2024-01-20 22:13:00,2024-01-20 23:17:00,226,86,1,22.21,457.23,28.94,486.17,Card,2,64.0,22,Saturday,January,2024-01-20,False,20.59,6.33
